Address,City,State,ZIP,Restaurant Name,Latitude,Longitude,Formatted Address
416 Wishkah Street,Aberdeen,WA,98520,Dutch Bros. Coffee,46.97741460016591,-123.808426,"Dutch Bros. Coffee, East Wishkah Street, Aberdeen, WA 98537, United States of America"
416 Wishkah Street,Aberdeen,WA,98520,Starbucks,46.97760340016585,-123.80295736682662,"Starbucks, 1202 East Wishkah Street, Aberdeen, WA 98520, United States of America"
9384 Old Highway 99 North,Burlington,WA,98233,The Coffee Barn,48.50709999981443,-122.33773299999999,"The Coffee Barn, 9552 Old Highway 99 North Road, Burlington, WA 98233, United States of America"
9384 Old Highway 99 North,Burlington,WA,98233,Foxy Lady Latte,48.506707999814516,-122.33761447201834,"Foxy Lady Latte, 9566 Old Highway 99 North Road, Burlington, WA 98233, United States of America"
1200 Lum Rd,Centralia,WA,98531,Starbucks,46.728547400215334,-122.98122190000001,"Starbucks, Harrison Avenue, Centralia, WA 98531, United States of America"
1200 Lum Rd,Centralia,WA,98531,Dutch Bros. Coffee,46.72316890021635,-122.96988619999999,"Dutch Bros. Coffee, East Bridge Street, Centralia, WA, United States of America"
1620 Canyon Rd,Ellensburg,WA,98926,Starbucks,46.97695260016597,-120.54220539999999,"Starbucks, 1614 Canyon Road, Ellensburg, WA 98926, United States of America"
1620 Canyon Rd,Ellensburg,WA,98926,D&M Coffee,46.97548835016628,-120.5421968476393,"D&M Coffee, 1709 Canyon Road, Ellensburg, WA 98926, United States of America"
2811 West 10th Ave.,Kennewick,WA,99336,Starbucks,46.19780990031074,-119.16135589999999,"Starbucks, 2811 West 10th Avenue, Kennewick, WA 99336, United States of America"
2811 West 10th Ave.,Kennewick,WA,99336,Evergreen Coffee Company,46.198868100310555,-119.1595857,"Evergreen Coffee Company, 2802 West 10th Avenue, Kennewick, WA 99336, United States of America"
2902 164th Street SW,Lynnwood,WA,98087,Starbucks,47.8496265999733,-122.27318159999997,"Starbucks, 2902 164th Street Southwest, Lynnwood, WA 98087, United States of America"
2902 164th Street SW,Lynnwood,WA,98087,Gourmet Latté,47.83531439997664,-122.27042345389872,"Gourmet Latté, Alderwood Mall Parkway, Lynnwood, WA 98037, United States of America"
105 W Galbreath Way,Ritzville,WA,99169,Starbucks,47.117467900136845,-118.36747510000001,"Starbucks, West Galbreath Way, Ritzville, WA 99169, United States of America"
105 W Galbreath Way,Ritzville,WA,99169,Jen's Java Junction,47.118537350136634,-118.36514047402278,"Jen's Java Junction, South Division Street, Ritzville, WA 99169, United States of America"
1441 E Washington Street,Sequim,WA,98382,Red Dog Coffee,48.07543879991963,-123.1026107,"Red Dog Coffee, South Sequim Avenue, Sequim, WA, United States of America"
1441 E Washington Street,Sequim,WA,98382,The White Cup Espresso,48.07943599991869,-123.10747999999997,"The White Cup Espresso, West Washington Street, Sequim, WA, United States of America"
800 NE Tenney Road,Vancouver,WA,98685,Starbucks,45.72015750038366,-122.66274119999997,"Starbucks, 800 Northeast Tenney Road, Vancouver, WA 98685, United States of America"
800 NE Tenney Road,Vancouver,WA,98685,Starbucks,45.722155700383375,-122.66671049999998,"Starbucks, 504 Northeast 139th Street, Salmon Creek, WA 98685, United States of America"
1329 US-2,Leavenworth,WA,98826,Leavenworth's Finest Espresso,47.59768740003157,-120.65812850000002,"Leavenworth's Finest Espresso, 1038 Front Street, Leavenworth, WA 98826, United States of America"
1329 US-2,Leavenworth,WA,98826,Starbucks,47.596532900031825,-120.6600093,"Starbucks, 932 Front Street, Leavenworth, WA 98826, United States of America"
6100 East Lake Sammamish Parkway SE,Issaquah,WA,98029,Starbucks,47.547355600042984,-122.0391274,"Starbucks, 6170 East Lake Sammamish Parkway Southeast, Issaquah, WA 98129, United States of America"
6100 East Lake Sammamish Parkway SE,Issaquah,WA,98029,Mighty Mugs,47.544397300043656,-122.03627920000001,"Mighty Mugs, Southeast 64th Street, Issaquah, WA 98129, United States of America"
37515 SR 706 E,Ashford,WA,98304,Rise & Grind,46.75953480020932,-122.04106000000002,"Rise & Grind, National Park Highway, Ashford, WA 98330, United States of America"
