Fuel Type Code,Station Name,Street Address,City,State,ZIP,Groups With Access Code,Access Days Time,EV Network,Facility Type,EV Pricing,Geocode Status,Latitude,Longitude,Status Code
ELEC,"Aberdeen, WA - Tesla Supercharger",416 Wishkah Street,Aberdeen,WA,98520,Public,24 hours daily,Tesla,,,GPS,46.976679,-123.813485,E
ELEC,Angel of the Winds Casino - Tesla Supercharger,3438 Stoluckquamish Lane,Arlington,WA,98223,Public,24 hours daily,Tesla,OTHER_ENTERTAINMENT,,GPS,48.212441,-122.183491,E
ELEC,Fairfield Inn & Suites Burlington - Tesla Supercharger,9384 Old Highway 99 North,Burlington,WA,98233,Public,24 hours daily,Tesla,,,200-8,48.509743,-122.338681,E
ELEC,Centralia Outlets - Tesla Supercharger,1200 Lum Rd,Centralia,WA,98531,Public,24 hours daily,Tesla,,,200-9,46.729872,-122.977392,E
ELEC,Holiday Inn Express - Tesla Supercharger,1620 Canyon Rd,Ellensburg,WA,98926,Public,24 hours daily,Tesla,,,GPS,46.976918,-120.54162,E
ELEC,Fred Meyer - Tesla Supercharger,2811 West 10th Ave.,Kennewick,WA,99336,Public,24 hours daily,Tesla,,,200-9,46.198035,-119.162687,E
ELEC,Fred Meyer - Tesla Supercharger,2902 164th Street SW,Lynnwood,WA,98087,Public,24 hours daily,Tesla,,,200-9,47.846714,-122.271389,E
ELEC,Best Western Plus Bronco Inn - Tesla Supercharger,105 W Galbreath Way,Ritzville,WA,99169,Public,24 hours daily,Tesla,,,200-9,47.116294,-118.368328,E
ELEC,Holiday Inn Express & Suites - Tesla Supercharger,1441 E Washington Street,Sequim,WA,98382,Public,24 hours daily,Tesla,,,200-9,48.071064,-123.074581,E
ELEC,Fred Meyer Salmon Creek - Tesla Supercharger,800 NE Tenney Road,Vancouver,WA,98685,Public,24 hours daily,Tesla,,,200-9,45.721613,-122.663762,E
ELEC,Dan's Food Market - Tesla Supercharger,1329 US-2,Leavenworth,WA,98826,Public,24 hours daily,Tesla,GROCERY,,200-9,47.598476,-120.656055,E
ELEC,Fred Meyer - Tesla Supercharger,6100 East Lake Sammamish Parkway SE,Issaquah,WA,98029,Public,24 hours daily,Tesla,GROCERY,,GPS,47.548081,-122.039955,E
