Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging
ELEC,Hollywood Hotel,1160 N. Vermont Ave.,,Hollywood,CA,90029,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,3,,,Blink Network,http://www.blinkcharging.com/,GPS,34.092846,-118.291554,2014-01-30,-9190606744207078477,,,,,,,,,,,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,Hotel Indigo - JuiceCar,500 College Ave,College Ave & E Dougherty St,Athens,GA,30601,,706-304-0915,E,,Public,Hotel guest and JuiceCar member use only; pay lot,,,,,,2,,,,,200-8,33.962319,-83.376296,,-7348996328237711542,,P,,,,,,,,,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,PLANETARY HQ,1 Icon,,Lake Forest,CA,92610,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,,,,2014-01-30,-6411677183310578734,,,,,,,,,,,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,Kumquat Mae Cafe - JuiceCar,18 S Barnett Shoals Rd,Greensboro Hwy & Barnett Shoals Rd,Athens,GA,30605,,706-304-0915,E,,Public,24 hours daily,,,,,,1,,,,,200-8,33.86075599999999,-83.405695,,-6186538707068697690,,P,,,,,,,,,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,BEDFORD,24 Parkway,,Katonah,NY,10536,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,,,,2014-01-30,-5144732784141615669,,,,,,,,,,,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,Elk Cove Vineyards,27751 NW Olson Rd,,Gaston,OR,97119,,503-985-7760,E,,Public,9am-5pm daily,,,,,,1,,1 Tesla Conductive,,,200-8,45.4152149,-123.1852316,,-5028180158457757307,,P,,,,,,,,,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,Consumers Energy,11797 Farmington Rd,,Livonia,MI,48150,,517-930-4568,P,2014-03-15,PLANNED - not yet accessible (Public),,,,,,,4,,,,,200-8,42.36958629999999,-83.37226729999999,,-4523563586654259448,,P,,,,,,,,,US,,,,PRÉVU - pas encore accessible (Public),,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,City of Lafayette - Bob L. Burger Recreation Center,111 W Baseline Rd,,Lafayette,CO,80026,,303-665-0469,E,,Public,24 hours daily,,,,,,2,,,,,200-8,40.0002418,-105.0906271,,-3472266266211434341,,LG,,,,,,,,,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,American Lung Association - Denver Clean Cities,5600 Greenwood Plaza Blvd,,Greenwood Village,CO,80111,,303-388-4327,E,,Public,8am-5pm M-F; Employee and guest use only; must obtain key from main office,,,,,,1,,,,,200-8,39.614658,-104.89842,,-3434389093636814946,,P,,,,,,,,,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,Santa Clara Convention Center,5001 Great America Parkway,,Santa Clara,CA,95054,,888-998-2546,E,,Public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,,,,5,,,Blink Network,http://www.blinkcharging.com/,GPS,37.403617,-121.977605,2014-01-30,-3312916737131823384,,,,,,,,,,,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
